user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
obscurejay,6901104723324732422,6921016629862108422,Did you know this about Spider-Man? #spiderman #peterparker #maryjane #moviefacts #moviedetails #easteregg,2021-01-23 09:59:30,39,https://www.tiktok.com/@obscurejay/video/6921016629862108422?lang=en,1800000,7347,4643,9000000
ernwstito,7033503156400571397,7033936620877368582,:( #Spiderman #spiderman2 #tomholland #spidermanedit #spidermannowayhome #spiderverse #andrewgarfield #tiktok #maryjane #maryjanewatson,2021-11-23 17:06:32,25,https://www.tiktok.com/@ernwstito/video/7033936620877368582?lang=en,1300000,31600,8092,12200000
no.digas.mmds.mary.jane,7026796917170504710,7058505071616642309,#nodigasmmdsmaryjane #maryjane @TikTok,2022-01-28 22:04:42,6,https://www.tiktok.com/@no.digas.mmds.mary.jane/video/7058505071616642309?lang=en,1300000,20800,7550,8400000
_angela_154,6879988750987215878,7033203729885138181,"pt.2 Escribe ""Mary Jane es muy..."" y deja que tu teclado siga #angela_154 #fypシ #fyp #foryou #maryjane #viral #elhombrearaña #fypシ #foryou #viral #💔",2021-11-21 17:42:33,10,https://www.tiktok.com/@_angela_154/video/7033203729885138181?lang=en,1200000,3259,10100,11500000
clips.idk,7020577794355971077,7029102391349742854,#fyp #foryoupage #parati #destacame #maryjanewatson #maryjane #spiderman #peterparker #juansguanizo  #juansguarnizoclip #unboxing #hottoys,2021-11-10 16:27:15,71,https://www.tiktok.com/@clips.idk/video/7029102391349742854?lang=en,1100000,2328,1162,8000000
nikandrews8,75706135026028544,6917256239223229702,Flight Delayed Due To “Stinky Odor” Coming From Luggage #drugdog #maryjane #busted #sike #nothingfound #justsmelly @kelly.teeter11,2021-01-13 06:47:23,52,https://www.tiktok.com/@nikandrews8/video/6917256239223229702?lang=en,1000000,14600,5844,6100000
l550films,6533771174306911247,7055412101065493765,El meme se volvió realidad. #fyp #viral #humor #spiderman #spidermannowayhome #MaryJane,2022-01-20 14:02:22,12,https://www.tiktok.com/@l550films/video/7055412101065493765?lang=en,760700,36300,4640,5000000
peachfuzztv1,6808481824735593478,6941449095429033221,Figuras de papel de arroz con cereal! Para tus invitados 🍚🥣🍭🤝 PT1          #munchies #maryjane  #roll #fruit #peachfuzz #youknow #pebbles,2021-03-19 12:27:43,51,https://www.tiktok.com/@peachfuzztv1/video/6941449095429033221?lang=en,733900,14500,8396,3800000
n0turg1rlfriend,6971179124208911366,6998673922082262278,Might or might not have let out a little scream when I opened them #maryjane #gucci #shoppinghaul #NeverStopExploring #JifRapChallenge #fashiontiktok,2021-08-20 17:29:16,10,https://www.tiktok.com/@n0turg1rlfriend/video/6998673922082262278?lang=en,670100,8025,7903,1900000
shipkaedits,6892950259095045122,7080284887252618501,Parabéns Oscar por esses comediantes sem noção #oscar #fy #foryou #fyp #kirstendunst #maryjane #willsmith #oscar2022 #hollywood #treta #thepowerofthedog #fypp #viral,2022-03-28 15:41:29,10,https://www.tiktok.com/@shipkaedits/video/7080284887252618501?lang=en,665300,964,1660,5100000
evintheskies,6726237216085443589,6986136767690820870,love it out here #comedy #maryjane #devilsletuce #foryou #trend #viral #lgbt🌈 #4uu,2021-07-17 22:38:49,8,https://www.tiktok.com/@evintheskies/video/6986136767690820870?lang=en,594200,7998,2235,1900000
pzterparker,6832093542073975813,7039471045790731525,adoro essa cena #fyp #peterparker #maryjane #spidergwen #aranhaverso #homemaranha #marvel #spiderman,2021-12-08 15:02:55,57,https://www.tiktok.com/@pzterparker/video/7039471045790731525?lang=en,589100,2665,1970,3300000
no.digas.mmds.mary.jane,7026796917170504710,7060338150597610757,Responder a @orlandomartinez175  #nodigasmmdsmaryjane #maryjane #peterparker,2022-02-02 20:37:59,15,https://www.tiktok.com/@no.digas.mmds.mary.jane/video/7060338150597610757?lang=en,574400,11600,4198,4300000
hpottah.aesthetics,6554604730118176774,7048679550925933826,fake kiss #spidermanedit #peterparker #mj #maryjanewatson #spiderman #maryjane #tobeymaguire #spidermanedit #fyp,2022-01-02 10:36:37,8,https://www.tiktok.com/@hpottah.aesthetics/video/7048679550925933826?lang=en,458300,2631,4517,3200000
no.digas.mmds.mary.jane,7026796917170504710,7059057354347777285,#nodigasmmdsmaryjane #maryjane #sincontexto,2022-01-30 09:47:48,12,https://www.tiktok.com/@no.digas.mmds.mary.jane/video/7059057354347777285?lang=en,447300,9363,1940,5200000
shadifairy,7005219338911499270,7046461144118152453,:( #fyp #fypシ #tobeymaguire #marvel #mcu #kirstendunst #maryjane #peterparker,2021-12-27 11:08:04,19,https://www.tiktok.com/@shadifairy/video/7046461144118152453?lang=en,424900,1618,2982,1400000
ezzetv,6983687118380860422,6983688775889095941,#arturo #spiderman #maryjane #humor #comedy,2021-07-11 08:19:17,16,https://www.tiktok.com/@ezzetv/video/6983688775889095941?lang=en,416200,31300,3388,3500000
